,"q (alpha=1.8, T=1.8e+1, from s_i and s_j)","q (alpha=0.2, T=6.0e-3, from s_i and s_j)","q (alpha=0.2, T=2.0e-3, from s_i and s_j)","q (alpha=0.2, T=6.0e-4, from s_i and s_j)"
43,0.48010316184831564,0.22416689633514372,0.3755751035757367,0.6513970698739899
44,0.5222398071103158,0.24794258879016182,0.39396200990506897,0.680401189183502
45,0.5389542717202058,0.21337376793610466,0.4405899321347249,0.6455704170179756
46,0.5640419096819902,0.25404843653093456,0.3893682952685812,0.6883188106230306
47,0.5106030255861429,0.20025871480586152,0.3991977246014029,0.6363739851992073
48,0.5634905783909656,0.19640302393496636,0.4035951278619048,0.6607288892037387
49,0.5211880440993741,0.219596175359449,0.40445295354561717,0.6616088484246272
50,0.5263427999206821,0.24199561138343126,0.426646467999446,0.6603405582817341
51,0.51840377770805,0.23942106423664036,0.4402193847595952,0.6612228512472157
52,0.5510395902419336,0.25205079323477136,0.3924771861157292,0.6779814418749789
53,0.5735826738936757,0.23063973275965086,0.3544453583672252,0.6356940244340339
54,0.5762560794354395,0.24110246467504648,0.40796602299577756,0.686424648122169
55,0.5871213441895999,0.22062261294963514,0.4216296680502885,0.6623229484460295
56,0.5456526918661481,0.2973879106992589,0.43124100423445133,0.6882817311174757
57,0.5375352371443913,0.17428278986220364,0.41554777318507186,0.6458690039103255
58,0.5329240756303412,0.20073622386194942,0.42028879191930063,0.6591322059430879
59,0.6301784952845455,0.20358697325210798,0.39520910937863685,0.6706581453007632
60,0.5582392073689858,0.2820979673885704,0.408474161177892,0.697393152132419
61,0.6017325252735222,0.19668961041870636,0.40460129141808177,0.6525656286634253
62,0.5974649928535785,0.25545715626944737,0.4077394799754283,0.6540141260405951
63,0.501988419847981,0.20437544548430264,0.3920071078656105,0.6296900646719747
64,0.5832303692638343,0.19597798526471844,0.4041324782116981,0.6316233752991561
65,0.5152983007661462,0.24989210776190698,0.38359200320696707,0.6924430002280137
66,0.604937278276556,0.22422946691968604,0.38760434358961104,0.6771354321034204
67,0.5629191839081942,0.23215323405725716,0.39506976384281833,0.6850760869399843
68,0.5663558530576446,0.2884855088588065,0.38519845951155846,0.676269457388431
69,0.5738855055932413,0.20904195167813913,0.4093497317847464,0.6404802730109929
70,0.5143538917156563,0.2593994935064186,0.3621859581775624,0.7027208444868863
71,0.5648521421448502,0.2718940681352692,0.3909760931597239,0.6641104020320947
72,0.561521169570821,0.20703417318236408,0.418777152455452,0.667613912536044
73,0.5123586432924133,0.251625095016766,0.39579892626459545,0.6573032266921136
74,0.541626896654323,0.25326424645613094,0.4412872653560142,0.665815705276031
75,0.5480025646670318,0.28721371568498616,0.43211141007547466,0.6863229426089182
76,0.5725604718533108,0.24505859141133393,0.4123285607212349,0.66482774652713
77,0.57095706561289,0.22078253289293998,0.4044912234680618,0.6792801472101163
78,0.5110974120460011,0.222032601351893,0.3822083718869944,0.6675494116871641
79,0.5158691992882313,0.2938973354050397,0.375836550643916,0.6649442949922084
80,0.5579603417960287,0.3139445396774331,0.4033397092813286,0.699961166082841
81,0.541220343510175,0.20041100873319395,0.3906217815065927,0.6629779121280763
82,0.5490365818219591,0.24430452978888975,0.4301805105033046,0.7014274687725128
83,0.5631370204209449,0.24535824681498974,0.3707925608334655,0.6660541954412259
84,0.5731792963583234,0.2578442824251957,0.39450119801503336,0.6907251108005719
85,0.5543290195097621,0.25030279368621444,0.3440803648762848,0.6990805132025055
86,0.5056579236854296,0.3198516593231843,0.37663936577035895,0.6873351192533224
87,0.5743156091674303,0.21647990150378227,0.38119872279913014,0.6659813415889341
88,0.5777854479663009,0.22797724052231458,0.39987696394536015,0.6754384223167312
89,0.5304015271549388,0.24674118502577666,0.39098091836367094,0.6682524010551254
90,0.5493164535486119,0.25430997658209775,0.3839523338009919,0.6856893397254523
91,0.49944341032468026,0.2672779673054914,0.4101691070067948,0.6887703657433041
92,0.5583107735356321,0.2607227561891142,0.3594145536704188,0.7026230650700186
93,0.5156999808153189,0.22901226494582663,0.39108918563321077,0.6774476036985665
94,0.5242483716581534,0.2461615172002021,0.45220530136898357,0.6715450970171499
95,0.4642093323023772,0.2798880241844125,0.32896690520964456,0.673795100650916
96,0.5177696151333375,0.2433319841488252,0.34606463300674856,0.6891296313617687
97,0.5113652730327894,0.2738890738714561,0.3759937679362674,0.6814661331806932
98,0.510006876539374,0.2328112802020826,0.3843523139816388,0.6799233887767839
99,0.48986534610936666,0.25953872328986116,0.35020079066497634,0.6895054842759623
100,0.5116289747567877,0.2717579413730804,0.42313065553768714,0.6972374476105276
101,0.48474273385356637,0.2447657394267369,0.3740944512367454,0.6648503092412881
102,0.4858861256115875,0.26619070098281666,0.40562729984949847,0.6877804071440234
103,0.5070752027034926,0.22589736784745051,0.3924594743296579,0.6733873130195779
104,0.523448237605824,0.26661555095105405,0.4040835117785845,0.6733498598917933
105,0.5398685247715944,0.2735316433176356,0.34688883090116673,0.6332929032899058
106,0.49957473264269714,0.23427114300113255,0.3972149879736709,0.6596329369714028
107,0.5327018882668602,0.22958298319935763,0.388563209755563,0.676955923740829
108,0.5554034635544388,0.26876896440027626,0.4024772158011182,0.6888646168550072
109,0.5456002103757353,0.1900236582170519,0.349153553774709,0.6285988032668913
110,0.5006939006084566,0.289297111304681,0.3478836824499036,0.6640287084157528
111,0.5650194640494784,0.2640107314196063,0.4198010497239761,0.6970101788912815
112,0.4662774882901182,0.28133016935377975,0.39322604011473755,0.6897778313563888
113,0.5080843164274196,0.21306049318161643,0.40401794166975424,0.633784793551122
114,0.5663405813097387,0.21729711255643716,0.4090703246835579,0.6685163973626972
115,0.5057512061580614,0.26136188586118203,0.35355620892491213,0.6520683794726794
116,0.5523173872786304,0.2148987631447225,0.3754015625484832,0.6592405873343178
117,0.5365264248001803,0.23008590374340185,0.4032586045121021,0.6502279598876595
118,0.5259437746865135,0.27696713681434915,0.35941184507194945,0.6766154564394832
119,0.6125693141347645,0.25642069408055757,0.4075320921506284,0.687607555252767
120,0.5474974304378794,0.2333253270638593,0.41355137281447285,0.6673115259863208
121,0.5430553140615775,0.24928860592201524,0.34067653404677345,0.6767822721599813
122,0.5011237840945107,0.2777477595314008,0.3578467302911377,0.6944043963905241
123,0.4598424390630233,0.2208713777189459,0.386202501945461,0.6771512717238313
124,0.5467169617878774,0.2201757985845656,0.37422774264099384,0.6715816663048807
125,0.4483436165409108,0.23119792874250306,0.3804529080238245,0.6637656950544639
126,0.49034185411609515,0.2499583238374619,0.397459653382701,0.6846169870997844
127,0.48573434204513205,0.23009521679518113,0.4100302849187283,0.6588780320674442
128,0.4978094560429063,0.30056704657407785,0.4547598691622431,0.6841505236359814
129,0.4989724706178722,0.2275730880693981,0.4148469701135936,0.67228919917681
130,0.5618462821288589,0.28616749635324285,0.4158483856457583,0.6820239072002319
131,0.5557837481822621,0.21784601037065307,0.4207853740910907,0.6593074587941604
132,0.5740460612776672,0.2668127745059344,0.45086948956641965,0.6953988853375148
133,0.5434020605099709,0.20804142537450648,0.42130251925172935,0.6851015935013445
134,0.4972306156582924,0.27358845111016444,0.4086204114441412,0.7109403429857906
135,0.5875714343650899,0.2617012642243653,0.40863686608826066,0.6672840271437285
136,0.5392178588520388,0.20754537243805074,0.4037849000677118,0.7029230472156316
137,0.5612966112133756,0.24595788419679204,0.40137506521945715,0.7079018897243553
138,0.5019700404759464,0.26090024060331696,0.38965474082381224,0.6948959965138152
139,0.5252123147350334,0.21686768881612448,0.40121869829239665,0.6690155645994743
140,0.5455021092590024,0.2491118056783796,0.4379882963957586,0.6746966393262452
141,0.45255381433131,0.22928361239056533,0.36371248599751455,0.6839932015944623
142,0.5421344632984352,0.26517412428018333,0.3540913619845173,0.6850133729260585
143,0.4988612522604547,0.28854625816131335,0.4397800122337944,0.7031489663423668
144,0.5542649358878652,0.2359562959750217,0.4211263695455597,0.6708914443771886
145,0.5119833601694519,0.2677855569974042,0.40675725985960576,0.70442883015957
146,0.4910588182148444,0.23706319952176755,0.4233613441595555,0.7165043377918968
147,0.5081201480683784,0.24220641637772466,0.3865801977332688,0.6775677974903371
148,0.5275723736131375,0.22597953326157658,0.4305806454144448,0.7003263257775857
149,0.5179614594406474,0.24051220789562178,0.41415461947203963,0.6913175796320237
150,0.5270557684016624,0.29727626553273645,0.42775653601946034,0.7215145394744573
151,0.4876548399273455,0.27667761535040236,0.37873602477030865,0.686839130208949
152,0.5157642132805492,0.25529205488630424,0.4596000880083584,0.6953476080098006
