,"q (alpha=1.8, T=1.8e+1, from s_i)","q (alpha=1.8, T=1.8e+1, from s_j)","q (alpha=0.2, T=6.0e-3, from s_i)","q (alpha=0.2, T=6.0e-3, from s_j)","q (alpha=0.2, T=2.0e-3, from s_i)","q (alpha=0.2, T=2.0e-3, from s_j)","q (alpha=0.2, T=6.0e-4, from s_i)","q (alpha=0.2, T=6.0e-4, from s_j)"
16,0.5848396258984482,0.5302893688509366,0.22324326769389943,0.27593434587765425,0.3542097504614482,0.42795869024228167,0.6735735630625929,0.6841658238330572
17,0.4879246234541883,0.5302523002271347,0.24655895927577445,0.3019252027818202,0.3823536435725887,0.4189598099766478,0.6289480247626535,0.693209959820352
18,0.5368098882393568,0.5002326443938405,0.2783688605335569,0.24274997128738418,0.39750627761996,0.42183584119830314,0.6781926133260174,0.6961961354644537
19,0.48290755329025126,0.5166687681887123,0.2583220105917264,0.2737616648143169,0.37095879267954335,0.4483221946703118,0.6886346322593384,0.6851609628966814
20,0.5210385694671846,0.4874249895970843,0.2454414205385961,0.24381888934436485,0.3782660840546791,0.38366309988641895,0.6925119092584565,0.6676719472571613
21,0.5785512301652265,0.5462379643335911,0.24393202959317103,0.23831787557431686,0.3573010626251895,0.42786794097767605,0.7042294618190603,0.7081567345392117
22,0.4617275434847591,0.5660199246675337,0.19612341871776753,0.2084387583442248,0.3497972327026896,0.38733183556679596,0.6928603366891635,0.6742858788772312
23,0.5403255359399188,0.5260923280984806,0.21483468921641996,0.25020276570525857,0.3904180187785961,0.42946228522413116,0.6936926791179409,0.6832883851137902
24,0.5015701979008236,0.5597198882643241,0.2495742761118499,0.2616448471276849,0.38679806522421595,0.4590782492804824,0.6902364843791187,0.6811203113262222
25,0.5371654068982787,0.5283807941540816,0.20166033931760727,0.19849801151445648,0.35913925467700186,0.3598215484775367,0.6587689780976822,0.6266441311972388
26,0.515791576770673,0.5819835593239544,0.25231675461984027,0.22343435825591554,0.4033017560011675,0.4164557645607622,0.6642849104684485,0.6622426569587897
27,0.5113180642598246,0.5225518352759482,0.2192779407492783,0.2418504313497845,0.39245886165819466,0.43377854125736104,0.6537936612420077,0.6800092177488444
28,0.5636337327508284,0.510482118974589,0.18801785662976694,0.21987736222791576,0.42602171240639075,0.39890702565215064,0.6710286979095037,0.6502830509144288
29,0.5812770565231871,0.5306341602152111,0.25050002450051406,0.2735269644280903,0.39774338364435247,0.38480442116477087,0.6558566596286948,0.6789463692741636
30,0.4811430671193791,0.5638064533495692,0.20457424685068587,0.1953753167484768,0.43510126278109923,0.3859112812541003,0.6506979282627702,0.6532242548262416
31,0.5492906258331732,0.5551153648362046,0.21500230498545744,0.2315926382544122,0.42287319203405815,0.35381189466836027,0.6543258666800588,0.6393337003685923
32,0.4904175237290013,0.5209272233240297,0.19390389984283884,0.2264560456791569,0.4648841450972402,0.3821837382430991,0.6509592329588221,0.6285755882499551
33,0.4823425133360645,0.5593415916498173,0.2368224412609285,0.22043093181058096,0.39764047582712586,0.3749635618046542,0.6730240208172126,0.6400215260237557
34,0.4741011754766155,0.5017443476212319,0.21681943175666651,0.222784423556836,0.42111900925006385,0.41337476196455253,0.6832047121070499,0.6213201322253146
35,0.503476822097288,0.5740485088792896,0.21384519537006136,0.2156892998199936,0.3920979024135893,0.3636591261757048,0.6866168985593828,0.6473614114486425
36,0.5110831510995435,0.5459733921037961,0.2105608851761545,0.25942266241163076,0.40811452187705755,0.36795047819767224,0.6445614065613997,0.6661232161962303
37,0.503580281059547,0.5954257001834232,0.27245628083374124,0.2492116513482306,0.414169824633114,0.40917089489427305,0.6964625239523448,0.6662503084969484
38,0.5240707468383118,0.5045220912654999,0.2319786815810087,0.22864495169630808,0.42016165384473175,0.3759639912897766,0.6459708875108993,0.6302754185049378
39,0.5339984037936497,0.5529427633186896,0.2432245186487127,0.2673345055798563,0.38753825310693424,0.35340122401197777,0.6564789266665297,0.6808224444155461
40,0.5323403098295136,0.5770583919599845,0.3077026149618571,0.22769862062845397,0.40308822349295026,0.36146410034094095,0.6814475696169079,0.64423695264826
41,0.4844721237681903,0.4933844551687225,0.22692814213720353,0.28395285401594783,0.3604262459550445,0.3792982624825229,0.6717390736605209,0.6504028977230504
42,0.5095367562564389,0.5754161642042829,0.24628896546313578,0.2153779166198611,0.44793873476783885,0.3968740777366371,0.6518572439254848,0.6521787372349359
43,0.4764112052127504,0.5437192845533736,0.18837202305203687,0.23026741619304042,0.3867538125603744,0.41822171771043787,0.6466077793935474,0.6426467727066484
44,0.5150209284734314,0.4988795782961005,0.2259863458445534,0.20883068346796743,0.46025155985360316,0.37423977695526056,0.6592760843333398,0.641727781806064
45,0.5569054927978947,0.58514925054839,0.2543517848175063,0.22986397339675976,0.41509319423263236,0.4310191764840938,0.6693430289677392,0.6424528249096176
46,0.5306189890292214,0.5249741749126803,0.22019374836791805,0.22453940215734833,0.3942071807164008,0.4014687984058091,0.6808096544061852,0.6599124063026724
47,0.5418671631983487,0.5532765952286107,0.20226358619753868,0.2795968964384178,0.40664437309666085,0.4056056279312022,0.6795525312616609,0.647655031031917
48,0.5184009523037629,0.5631682149539534,0.20296403864889448,0.18595621806748722,0.4318916822955829,0.392069238560888,0.6404958612802774,0.6186606430282038
