,U (c_0-s_0),U (c_0-s_1),U (c_0-s_2),U (c_0-s_3),U (c_0-s_4),U (c_1-s_0),U (c_1-s_1),U (c_1-s_2),U (c_1-s_3),U (c_1-s_4),U (c_2-s_0),U (c_2-s_1),U (c_2-s_2),U (c_2-s_3),U (c_2-s_4),U (c_0-s*_0),U (c_0-s*_1),U (c_0-s*_2),U (c_0-s*_3),U (c_0-s*_4),U (c_1-s*_0),U (c_1-s*_1),U (c_1-s*_2),U (c_1-s*_3),U (c_1-s*_4),U (c_2-s*_0),U (c_2-s*_1),U (c_2-s*_2),U (c_2-s*_3),U (c_2-s*_4),U (c_0-c_1),U (c_0-c_2),U (c_1-c_2)
0.265625,0.14067845125256873,0.1497350438220339,0.18575796022132204,0.156081102272006,0.17291525866501561,0.15589107421168155,0.14522699597004643,0.18671364315829628,0.1660959079143339,0.18683228519135148,0.16171592121508188,0.14779001090646027,0.18648846021760537,0.17630957441804257,0.1830826595308352,0.09498626311435288,0.1158346981594588,0.1227665651765224,0.08021429787667186,0.08858608067919627,0.08870649447203399,0.10565225999601958,0.11300110681617223,0.07902940408487524,0.0787964211481597,0.09404852133835345,0.11189446680083237,0.11705255709683794,0.07766234906191896,0.08008236923554471,0.07648124235585865,0.07287479842838848,0.06608512290493268
0.28125,0.1457740576552538,0.15476731935429155,0.19366546652317213,0.1609082105745852,0.17888743670198148,0.16214396071470338,0.14988339839556677,0.1944011714042039,0.1720891243208022,0.19344299483476007,0.16848016502228633,0.15240262034624794,0.19371175000544175,0.18248857798700657,0.18933204513261248,0.09723919163709105,0.11995697361402133,0.12803318430083474,0.08146038923447121,0.0905188555492942,0.09031714898275564,0.10898456066574795,0.11740935508741954,0.08020219302040063,0.0796375128727321,0.0960612341266633,0.11567480965506924,0.12152688069506175,0.07851726147480259,0.08108662050720927,0.0775709713210855,0.0738006910160603,0.06632236593538811
0.296875,0.15062453484917115,0.1594428048075105,0.20118361801011334,0.16543058794740792,0.1844891317202325,0.1682069463166359,0.15429330143824593,0.20182217348184806,0.17778377074480584,0.19932449911316433,0.17483180529586126,0.15673481764931696,0.20068312509576144,0.18842250583027204,0.19512263516036887,0.09942797606279669,0.12380340146197616,0.13329900176957765,0.0826522056621097,0.0924078660090657,0.09194387662124029,0.11222549710997846,0.12170472997920753,0.08136515695337226,0.08043615503474862,0.0979997936091643,0.1193973424214341,0.12597763801931972,0.07935858781321181,0.0820762432770406,0.07865988832737844,0.07473121070046582,0.06655340307257265
0.3125,0.15532523589894376,0.16405550220488124,0.20824778971680682,0.1697045120569573,0.18975896997944808,0.17399491266493708,0.15846768507662595,0.20888986871831744,0.18327658281298706,0.20454801911117806,0.1806645268181983,0.16098228522486271,0.2075331058700239,0.193889349383931,0.20041982371485612,0.10149808850034375,0.12745142557417802,0.1383651139114495,0.08385004022824674,0.09419303422339154,0.09347825987582783,0.11543572534326575,0.1259680856954032,0.08247580286356182,0.08119607170225121,0.09990156912897133,0.12301820363201996,0.13034009370595045,0.0801703331236033,0.08305184700604429,0.07974406045292212,0.07560461320070638,0.06676518135407816
0.328125,0.15978995219307923,0.1683994510017524,0.21484600570498805,0.17363306936003908,0.19476086534327453,0.17949234615021098,0.16223810314002177,0.21540229048201598,0.1881510953291474,0.20921672320721044,0.1862052432709224,0.1649586038274496,0.2139567400730959,0.19884013332456496,0.20556208920683794,0.10341977240035553,0.130874416941696,0.14317000754067805,0.0850414610914729,0.0959530233939383,0.09490619340802035,0.11853364935418353,0.13005634843518307,0.08352819901426739,0.08191501045271127,0.10174368697438257,0.12641396797376644,0.13471051326568456,0.08094015586319209,0.08396376225453234,0.08078615562114917,0.07643549973723934,0.06697941312308722
0.34375,0.1640409477862349,0.1724171096442123,0.2208429992223945,0.17721564426926373,0.19939045395156746,0.18444610769732836,0.16560342220064256,0.2215072927335328,0.19272903367728883,0.21361497593167053,0.19141636830810338,0.16870618192570688,0.21967389820173122,0.20326962311517066,0.2104015512411267,0.10529356887979711,0.1340631961996079,0.14765606757214902,0.08616880718624528,0.09764405298056344,0.09628043467855092,0.12151156549012751,0.13383159544999707,0.08452933015078298,0.08260293173881125,0.10347077644931185,0.12952992388758333,0.13885034741299476,0.08166292229962391,0.08482080296700006,0.08176797313335811,0.07722146586739347,0.06718053423167768
0.359375,0.1679451591463541,0.17611215796032975,0.22606195612205357,0.18046491196613568,0.2035019717870195,0.18898966671963605,0.1684914775143729,0.22722922012334043,0.19712075131091303,0.2176062657930175,0.19621919838212898,0.17220591113914088,0.225042745013933,0.20726790816961743,0.21476017459132274,0.10705919209019583,0.1369952232026662,0.15186560243499542,0.08725359624987628,0.0991604267435579,0.09758729463470814,0.12441989288787832,0.13739767784867005,0.08548903698558093,0.08325750192717991,0.10508549521016489,0.13249456115471994,0.14286077634694416,0.08234962068410108,0.08560031523810957,0.08268253537580438,0.07800130229288434,0.06736946074792156
0.375,0.17158822562169412,0.17950422774808222,0.23063337512756715,0.1829817346038487,0.20717176655436187,0.1932171310865905,0.1709995104587206,0.2325068811020977,0.20115457766376355,0.2210359247644547,0.20029459560381374,0.175298455431557,0.2301531700230827,0.2104251033990877,0.21843665249348165,0.10871674933391737,0.1397010797490455,0.15571875608312777,0.08823807215833938,0.1005168082604263,0.09884495824376427,0.1270326960507563,0.14078347323488355,0.0863972160753938,0.08387264056215013,0.10658122873576752,0.13498256055772193,0.14661830158018557,0.0829862940056579,0.08631191027916385,0.08354788463662552,0.07875816901959834,0.06754596512256066
0.390625,0.174885623675736,0.18250666167006135,0.23429103445102806,0.18510521623275644,0.210204223988667,0.19706808821716637,0.17323127243625017,0.23704962047885927,0.20457127385879775,0.22360882185247594,0.20386475537869705,0.17803160361898732,0.2343793595101735,0.21307694769855823,0.22120612249632565,0.11029609902700256,0.1421583215169324,0.15927804200856466,0.08912410761727732,0.1017169187604966,0.09996541508617397,0.12936033954678622,0.14401325144300756,0.08721587175470501,0.08445654046578899,0.10787656365188386,0.1371326769391141,0.15011301202039762,0.08355773643615133,0.08692334354534821,0.08433758117299567,0.07947160287585919,0.06771246421707575
0.40625,0.17764747331558972,0.18529208822328636,0.23732504325073162,0.18674183909301245,0.21261998763310458,0.20035474957154073,0.17488012789656313,0.24089324155761327,0.20735375056678768,0.22536805776718974,0.20653348690627796,0.18032147527466827,0.23784366957540418,0.21517632754766797,0.22321383713536347,0.11173531880324265,0.14426132991571847,0.16246676855302922,0.08996179691455289,0.10276131259118125,0.10093828749797357,0.1312883300379437,0.1469054330451999,0.08796474702344308,0.08494365441757787,0.10904172783708008,0.13897131275479968,0.15323277617847425,0.08403921394474104,0.08744765616029782,0.08511910713346163,0.08013349797435435,0.06785640633516472
