,U (t=T/20),U (t=2T/20),U (t=3T/20),U (t=4T/20),U (t=5T/20),U (t=6T/20),U (t=7T/20),U (t=8T/20),U (t=9T/20),U (t=10T/20),U (t=11T/20),U (t=12T/20),U (t=13T/20),U (t=14T/20),U (t=15T/20),U (t=16T/20),U (t=17T/20),U (t=18T/20),U (t=19T/20),U (t=T)
0.265625,0.129408530984117,0.10764460245415236,0.10588920517849953,0.10634633321458611,0.10499575041907919,0.10432396383635334,0.10039412048022446,0.10170580065596864,0.09972593785593799,0.10001199699592564,0.10196483532019873,0.098517247330969,0.10056961966883932,0.09941173567699024,0.09981188507331404,0.0921392862183906,0.08588586143405273,0.08327465627503049,0.07746934958375434,0.06669730180386044
0.28125,0.13484559318999892,0.11102174665056293,0.10903575492084008,0.1094111255661395,0.10789534023264219,0.10722206336685469,0.10297280459268121,0.10448460088188433,0.10217447732612486,0.10247151558880208,0.10443652393317228,0.10089468812356148,0.10303102667903502,0.10187945372699699,0.1023396234986319,0.09407698021848596,0.08723214870695041,0.08444730460376224,0.07818346772162534,0.06663861413642305
0.296875,0.1401076694530421,0.11424176823116587,0.11204420005139368,0.11241619672279454,0.1106412868332032,0.11008554077867899,0.1054747248545295,0.10721321754360687,0.10451442828815358,0.1048883558296205,0.10683745444666655,0.10312393971262321,0.10546166550185701,0.10437313657265673,0.10473477662109944,0.09591880505256711,0.08854245052782884,0.08561039642730082,0.07888447013131589,0.0665829426921123
0.3125,0.14504826245729327,0.11731962214564479,0.11484551904793425,0.11531680897846439,0.11323602948573405,0.11283549721806782,0.10782558068489004,0.10977398406621193,0.10679438264153379,0.10723039618244795,0.1090961370800423,0.10527432415971569,0.10779751729292952,0.10684284055315324,0.10703737405658545,0.09767313784167907,0.08980685733758381,0.08673549777391547,0.07956978470882528,0.0665310034306586
0.328125,0.1497450460623291,0.12025681028178582,0.11750366123971134,0.11806474680149029,0.11568687750985454,0.11540032653189983,0.11005713740653744,0.1121978713502989,0.10904643005906905,0.10941059227355202,0.11120350760745777,0.10730094499396262,0.10996910988517192,0.1090706405056463,0.10923971148631667,0.09930628036581493,0.09104801351378573,0.08779828579574048,0.08023977025719552,0.06648308810470073
0.34375,0.15429070546058662,0.1230918953652311,0.12002076119001998,0.12069287679303461,0.11794812589008247,0.11772580957330256,0.11218034245779943,0.11449140503677832,0.11120814534163045,0.11143813340147887,0.11307639659797523,0.1092523381288937,0.1119852206627388,0.11112808336527924,0.11132682420447994,0.10081432932609713,0.09222536331698633,0.0888045691605694,0.08087749124492602,0.06643799751496539
0.359375,0.15863487017890585,0.12574887211763797,0.12243288006867242,0.1230153089271589,0.1200632427411962,0.11967167059771971,0.11411279659993193,0.1166676985008718,0.11315082746070615,0.1131902351437851,0.11469508447506517,0.11105072188789036,0.1137828019243427,0.1130202858885195,0.11313911408515659,0.10214691384389657,0.09336537073550288,0.08975282157820114,0.0814464700419025,0.06639521961499735
0.375,0.16261647834119455,0.12827823382293793,0.12464790348437296,0.12509721418549283,0.12203077515051927,0.12134562433645205,0.11574840282178725,0.11866621038127562,0.11474082505444727,0.11485199923938386,0.11619685466416092,0.11263798039963058,0.11543372282712379,0.1147181079019366,0.11479672896379436,0.10334118907293954,0.09444781789711917,0.09057061214238452,0.08196707174185246,0.06635381824299921
0.390625,0.1661283242020756,0.13060245010180357,0.12649408926398728,0.1268272870250723,0.1237264146284601,0.12279206833398515,0.11719685269217855,0.12046713126964213,0.11605459375941163,0.11623984900719728,0.11756160113737045,0.11403229744372931,0.11692605908801074,0.11621278811551775,0.11627836598858848,0.10443334699444412,0.09547196983130836,0.09128838176215265,0.08242147954580836,0.0663148094414005
0.40625,0.16886409284912032,0.13253169710113438,0.12803548856608335,0.12817997286337007,0.12498575103111464,0.12400276889783068,0.11848045062722423,0.12200478089822453,0.11717311097336977,0.11733681439531213,0.11864230606870645,0.11519751456803473,0.11816109927116443,0.11750993132220663,0.11751193371278723,0.10545080355163056,0.09645057040082641,0.09189049054843788,0.08284709499934104,0.06627914436382862
0.421875,0.17115719488768916,0.13406536015404535,0.12931497145841356,0.12922550165352556,0.125857496567752,0.1250074311524299,0.11950714131387816,0.1232313417593813,0.11816555480279695,0.11826230486602954,0.11941204946737903,0.11604530571920227,0.1190863436867423,0.11854690520371716,0.11853285609198706,0.10643679846848758,0.09733289429395851,0.0924487267705709,0.0832218700837725,0.066247184030441
0.4375,0.17312829971201288,0.13513819615213674,0.1304287628881203,0.12999153913686745,0.12635878770303854,0.12583285784046977,0.12019621358179844,0.12420008921122885,0.11898448583000876,0.11899606168834156,0.11996832751164194,0.11672452300519581,0.11985920850296164,0.11929292845766928,0.1193617626587567,0.10721129853375269,0.0980594858112008,0.09294118476118957,0.08355936109978489,0.0662190959249372
0.453125,0.1747225261204912,0.13585615886880076,0.1313121697602432,0.13041926172302373,0.12647306602900907,0.12640464640570484,0.12062670097092781,0.12486888122523467,0.11964830252753178,0.11955232365713558,0.12027112250378827,0.11722201569686944,0.12044207952845438,0.11974137025967604,0.11987177630061763,0.10774166277345015,0.09863442069882336,0.0933503806912703,0.08383887035322822,0.06619443156146505
0.46875,0.17562963793111175,0.1364230006225663,0.13184685573709484,0.13056722948398028,0.12640308913248413,0.12673350157870406,0.12084138870059441,0.1252252327185294,0.1201301870319467,0.119911701217387,0.12042499137763761,0.11759287745225691,0.12078135638480164,0.11993990249151693,0.12017018635279075,0.10815719292318669,0.09911744006074533,0.09371133308025194,0.08402761389476855,0.0661737955092095
0.484375,0.1760707408068387,0.13673592758215286,0.13215094700959198,0.13044614968266052,0.12627022196913257,0.12675724915244288,0.12090646704784391,0.12519229212980182,0.12037240313986877,0.11999308423873772,0.12037920574152741,0.11772648115150922,0.12090252998091945,0.12001043134516215,0.12023196497742931,0.10849691628985972,0.09948822363068195,0.09397560230230348,0.08417362192408112,0.0661568572737658
0.5,0.17571330896587167,0.13674894565118112,0.13229190289505505,0.13013070090370357,0.12586842568750148,0.1265732791272362,0.12075581406196936,0.12491996372408506,0.12032363638931573,0.11985774888002321,0.12019870228980431,0.11763148080712105,0.12077500313069653,0.11990058316004346,0.12011338672791363,0.10858962637010622,0.09968251796314234,0.0941559673760001,0.0842495454392202,0.06614164596700932
0.515625,0.17477391068423118,0.13645362259890853,0.1320738383806143,0.12968616642233147,0.1253366463265317,0.12621864382808037,0.12036103972963766,0.12443793525078999,0.12012172475014146,0.11948423085292667,0.11978544918484538,0.11730850761081171,0.12042945331478074,0.1196613682606899,0.11972916123972092,0.10852747491948564,0.09972151109966276,0.09428669697974004,0.0842186824481171,0.06612909849933743
0.53125,0.17351870332065406,0.135784229723044,0.13162205745752534,0.12899858092626615,0.12466102336722543,0.12566484821988844,0.11977518622400732,0.12372108789178374,0.11967375231171115,0.11888524787025262,0.11919772428030674,0.11667120389056429,0.119867080519127,0.11921438612402238,0.11912264137164513,0.10828548760387431,0.09959080380256455,0.09428564682861088,0.08411542031081296,0.0661198204434413
0.546875,0.17167318214121235,0.1347551541696139,0.13092259674539408,0.12812047787574216,0.12371197836944525,0.1248196717306411,0.11889792381268516,0.12276756685717821,0.11893788705217173,0.11805695306518804,0.11853267787611187,0.1158026729103587,0.11912783414334692,0.11852914992962457,0.11826639225058795,0.10791883150414892,0.09935206234362984,0.09421984038905895,0.08399266084491562,0.06611406074571625
0.5625,0.16931035812781542,0.1334363749191509,0.1298725750550903,0.12699187565400394,0.12256735563433035,0.12361354806728839,0.1177580584483151,0.12154969890088697,0.11800087514298485,0.11711534789231207,0.11770074985022204,0.11477055027275254,0.11821699862332101,0.11758632977319619,0.11739005302565338,0.10736006388509488,0.09897982094193301,0.09407370199447816,0.08382981262407557,0.06611207915660056
0.578125,0.1663206580611327,0.13181726244245823,0.1285058070778162,0.1256604966982847,0.12126712319641489,0.12220121774795029,0.11642450897666229,0.12012484776072195,0.1168541890614549,0.11600691602777224,0.11675158244309677,0.11360229946356792,0.1171234792037038,0.11645504390217912,0.11639989271957914,0.1066355346713305,0.09852700205299117,0.0938235696569942,0.08361095355042807,0.06611374931786806
0.59375,0.1628316081021591,0.13002141019399133,0.12682759890213222,0.12408294247047713,0.11978276519796993,0.12055527810370464,0.11496149718130774,0.11855975815075802,0.11553892099422439,0.11474643956709044,0.11569321053544206,0.11233737973409305,0.11585826882560074,0.11521351494013946,0.11516773123650638,0.1057986318314081,0.0978954096110759,0.09345238255192496,0.0832952812864522,0.06611906920187355
