,"q (low T, from s_i and s_j)","q (medium T, from s_i and s_j)"
52,0.6320879357742695,0.546335345417668
53,0.6306434472248444,0.5502897596755504
54,0.6280754325491986,0.5232650639100194
55,0.6337049007499826,0.4600781069317411
56,0.6313754049758821,0.5035667656926488
57,0.6381138500276411,0.5551895549773934
58,0.6349266899923441,0.5412035261633525
59,0.6287903535371269,0.5297378006345388
60,0.6366850075546674,0.5438851631198629
61,0.6304069228003077,0.5102176362090285
62,0.6303590731564276,0.5331638121867429
63,0.6359051926458564,0.47980475424146407
64,0.6372548557360236,0.5521923455783849
65,0.6277753531241984,0.5938833014697601
66,0.6300466906124407,0.6097120322336025
67,0.6350741156476745,0.5197413086463437
68,0.630451943316331,0.5173261205411133
69,0.6355872640508408,0.5278298270500581
70,0.6332048368682773,0.5226371846942848
71,0.6338694856661036,0.4885713262268259
72,0.632121501057074,0.4982943637632075
73,0.6354397226848468,0.5277329971825753
74,0.6353425392737955,0.5272374278645106
75,0.6413231359598379,0.5468941325320906
76,0.6121314978309529,0.556793285870999
77,0.6117690577347388,0.5383840440888222
78,0.6062075296933338,0.5269792682889367
79,0.6093348082558067,0.5443984294409596
80,0.608836141816099,0.5494792118119586
81,0.6092797730355194,0.5724770999717648
82,0.6119605290220403,0.5530996197326731
83,0.6083336341230894,0.5019736282708337
84,0.6102454273612768,0.5347940919292485
85,0.6081519530985637,0.600421589991423
86,0.6052922239372023,0.5175392031994333
87,0.6127424741255947,0.5720898517447756
88,0.6108492719721066,0.5448529126430286
89,0.6153403856639333,0.5531661633755551
90,0.6170534835852374,0.5344448236634266
91,0.621473516168056,0.5446638182288902
92,0.6159352218625593,0.5596118413654642
93,0.6163429588524277,0.5793561168785528
94,0.6156055450825343,0.5353966970635184
95,0.6219289932327142,0.5470217150448157
96,0.6166814631674384,0.4849165055279624
97,0.6180387092607381,0.5051496037851526
98,0.6156876358473276,0.5593741225022192
99,0.6135997845624184,0.5395800628251939
100,0.618038136096477,0.5295775672291
101,0.6179880930678655,0.5379669291995812
102,0.6192457128267402,0.49278207989564105
103,0.6121470323043685,0.5510447883600962
104,0.613439880407339,0.5122047535292247
105,0.6186278459642937,0.5124855999312621
106,0.6189466487125193,0.571450051983163
107,0.6213787220632451,0.5439970059336643
108,0.617971093507175,0.5139971730126595
109,0.6195398259359234,0.5175950153344777
110,0.6231757033264089,0.5402974109613956
111,0.629213363550836,0.5207632629168693
112,0.6261125259263907,0.5248501271571742
113,0.6287854708313249,0.5355195451644519
114,0.6288222650129439,0.507973486265492
115,0.6243167637777441,0.5161441299688305
116,0.6257658044646294,0.5738678596734168
117,0.6323104323142195,0.4978258357084379
118,0.6259941205010399,0.5675470357880766
119,0.6232972668920279,0.525554803648163
120,0.6275733767267673,0.5118665877677064
121,0.6309346815378724,0.5542819106051968
122,0.6310269618118161,0.5521004322439355
123,0.6400746820843924,0.4771583547689932
124,0.6301284810225223,0.5721215515220301
125,0.6258817434694203,0.6144716614922451
126,0.6258380659124604,0.5369693352705525
127,0.6342145377842192,0.550820164539323
128,0.6276109375703175,0.5556578082769867
129,0.6259585813092836,0.5628420344601825
130,0.6227071861128836,0.5315378356397035
131,0.6286968722793962,0.5266207561707796
132,0.6269017548837849,0.5227623485052745
133,0.632858968618604,0.5778760828085285
134,0.6300167129806865,0.52945434992587
135,0.6230547435398873,0.5607679037294226
136,0.6322796985314311,0.5672576089432825
137,0.6256460021967718,0.4957279499749688
138,0.6258038645656524,0.5627931631772228
139,0.631020900558302,0.47261871724595794
140,0.6322868693615519,0.5768541344382866
141,0.622909746414167,0.5476543675831863
142,0.6251551973807167,0.554936192206698
143,0.6294464287072754,0.5472815698835717
144,0.6263553294953015,0.48377857339693725
145,0.6316997134610834,0.5705473543809219
146,0.6302426113765206,0.4843884279004947
147,0.6309736996848275,0.5121712786611211
148,0.6284064670052609,0.5211887797837776
149,0.6316761050322031,0.5220335723838293
150,0.6325283003802783,0.519400336022188
151,0.6378761448196179,0.5489993826459673
152,0.619209513343531,0.5640723898946769
153,0.6159669138271916,0.4693671987263198
154,0.619142746542984,0.4906472252920622
155,0.6171486499704694,0.517740809585443
156,0.6161183913333782,0.5402185864389736
157,0.6175506274914007,0.5503226383165812
158,0.6199751910408304,0.5391467665304019
159,0.6171705098070842,0.5252528241321233
160,0.6177258588503897,0.5133294064633581
161,0.6161461905582382,0.5594556354366157
162,0.6129491540544839,0.5210664447122905
163,0.6210639801008871,0.5567899085121438
164,0.6203015879556684,0.5041412194453685
165,0.6235281760401997,0.5817439730487473
166,0.6255600609989791,0.5559367966300341
167,0.6290923534561039,0.4659619764156475
168,0.6239700909574821,0.5066186937992845
169,0.6243438464235757,0.563779137582771
170,0.6231369143135118,0.4322633961287455
171,0.6286668989484872,0.4848739629924057
172,0.6240087340835596,0.5030172287137598
173,0.6254501004988469,0.5037830439287355
174,0.6232922053471225,0.5150434625223352
175,0.6214627986702947,0.5187212594581538
176,0.6257163819286432,0.5446462154506132
177,0.6252522603926364,0.5065696089625885
178,0.6270142758454399,0.5025750209735955
179,0.6210838285959461,0.48494670775112725
180,0.6219866239738021,0.4901526778418633
181,0.6273812139697009,0.4789361936310824
