,"q (low T, from s_i)","q (low T, from s_j)","q (medium T, from s_i)","q (medium T, from s_j)"
93,0.9882563732813686,0.9757503778855324,0.507496820493728,0.5240728155514732
94,0.9913810871319658,0.9763090339184533,0.5089860839293257,0.5333538053289995
95,0.9890339113215737,0.9745641088476928,0.6021204070212697,0.5770415614418256
96,0.9883730709104828,0.973708145969907,0.5633674683740167,0.5357720034665551
97,0.9855012813601725,0.9705996912384145,0.49992998208859274,0.5336090663819866
98,0.9856440158814082,0.9737769364825185,0.6133696079613621,0.5385065601897503
99,0.9873834187896354,0.9726566123633038,0.5322661604303079,0.5544450917212004
100,0.9867229441132107,0.9728342426232721,0.4937614948661232,0.573012748454666
101,0.9897041408081289,0.9722468821756147,0.6037541308364209,0.5022713659052579
102,0.9916357160037188,0.9691650926042846,0.5852686516623807,0.5239710897813324
103,0.9917397274065759,0.9704233071855514,0.5610171516145868,0.5291793842570428
104,0.9906324349681725,0.9723438628165947,0.5338161449572792,0.5580098540242929
105,0.989200438084606,0.9670573833226969,0.5406884894063935,0.5796021155103911
106,0.9893543710793997,0.9690543966684069,0.5245901786591218,0.534692967981926
107,0.9913620574957991,0.9686905835988041,0.5668965455557414,0.5158439692261502
108,0.9906977384354084,0.9683223185799266,0.5583651704365336,0.5276235687547994
109,0.9905087913158783,0.9673591059933667,0.5118926348081518,0.5457800677293222
110,0.9901729577242222,0.9653566455899918,0.5742624396368007,0.5591675977600263
111,0.9886870030297076,0.9637697271747847,0.5727099228073709,0.5419386049089693
112,0.9870180246637228,0.9675655524045325,0.4979486887765968,0.5006098462880033
113,0.9886947495437396,0.9635731124830624,0.5200911233869404,0.5188894212647627
114,0.9899029900230113,0.9625938602847268,0.5245937980693679,0.5702773188833326
115,0.9882215204480366,0.9693197454613975,0.5485150944253393,0.5819833041383404
116,0.9900464440389206,0.9676054613546692,0.5514280728503932,0.5583814950842436
117,0.989608471658751,0.9623414162137635,0.5559002286663518,0.571144205522013
118,0.9913541502123452,0.9636918917988062,0.5259763417999178,0.5694169221747462
119,0.9891809551525762,0.9613145866229497,0.48596839412475434,0.5982048527883186
120,0.9898342208478994,0.9665658965215426,0.5736312674021531,0.5032793353633687
121,0.991480958438239,0.9640335346351186,0.5319055814592726,0.46189726013554533
122,0.9912600707894282,0.9674989138385733,0.5441491837847428,0.5664597194311612
123,0.990751021756257,0.9681351914044146,0.5155847081401381,0.6124136028824864
124,0.9902616661284152,0.9622699054185558,0.49385965549566097,0.5348073173652726
125,0.989489806738165,0.9638945244442926,0.5647884929648825,0.5803505749637371
126,0.9917967440523234,0.9675350306121293,0.538231387561369,0.5107381144712716
127,0.9895892203951079,0.9653737328707426,0.5660900706747922,0.5187769454860568
128,0.9903814114117309,0.9650473214902191,0.5335630620774452,0.5621003322549706
129,0.9898494678982364,0.9654276958088281,0.5581491303775092,0.5276714801154636
130,0.9905559202736465,0.9628992411635645,0.5260681519504411,0.570751832718399
131,0.9911607804678425,0.9655375130382059,0.5672295898328759,0.5652586759384176
132,0.9894099328434197,0.9666400044928539,0.544804947702503,0.4942288612075758
133,0.9887506776338403,0.9601062964087923,0.553826417287555,0.5473497415205104
134,0.9889324491400713,0.9647731361868913,0.5032831878487511,0.45475961607669846
135,0.9909849627731393,0.9664668501135353,0.5260207733708807,0.55460642619226
136,0.9901956892772913,0.9623788476078006,0.5241226151353416,0.5085035845540165
137,0.9878532944289454,0.964274595073103,0.5845524093261023,0.5316878821601784
138,0.9892845994090483,0.9686419139199446,0.5600366246476651,0.5195301953094501
139,0.9909414514876995,0.9653958201203262,0.5246701552681485,0.5230299276897307
140,0.9889063646475239,0.9692729761171376,0.5497421588988401,0.5294366575067057
